矩阵大小,重复次数,平凡算法时间(ms),优化算法时间(ms),加速比
1,3000,4.33333e-06,1.06667e-05,0.40625
2,3000,7e-06,1.5e-05,0.466667
3,3000,1.33333e-05,2.7e-05,0.493827
4,3000,2.03333e-05,1.86667e-05,1.08929
5,3000,3.23333e-05,4.03333e-05,0.801653
6,3000,5.16667e-05,3.9e-05,1.32479
7,3000,6.5e-05,5.13333e-05,1.26623
8,3000,0.000111333,6.86667e-05,1.62136
9,3000,0.000108667,6.76667e-05,1.60591
10,3000,0.000102,0.000120667,0.845304
11,3000,0.000176333,0.000103667,1.70096
12,3000,0.000173333,0.000106667,1.625
13,3000,0.000190667,0.000137667,1.38499
14,3000,0.000250667,0.000123333,2.03243
15,3000,0.000235667,0.000151,1.56071
16,3000,0.000220333,0.000175667,1.25427
17,3000,0.000299333,0.000168333,1.77822
18,3000,0.000419667,0.000166,2.52811
19,3000,0.000386,0.000206,1.87379
20,3000,0.000495,0.000221,2.23982
21,3000,0.000307,0.000272,1.12868
22,3000,0.000577333,0.000401667,1.43734
23,3000,0.000599333,0.000354,1.69303
24,3000,0.000736667,0.000367,2.00727
25,3000,0.000506667,0.000290667,1.74312
26,3000,0.000509667,0.000268,1.90174
27,3000,0.000529667,0.000269667,1.96415
28,3000,0.000590333,0.000249667,2.36449
29,3000,0.000552667,0.000334,1.65469
30,3000,0.000823,0.000493333,1.66824
31,3000,0.000678,0.000374667,1.80961
32,3000,0.000696667,0.00055,1.26667
33,3000,0.00107033,0.000684667,1.56329
34,3000,0.000619667,0.000334667,1.85159
35,3000,0.00103667,0.000717,1.44584
36,3000,0.00140167,0.000773333,1.8125
37,3000,0.000829667,0.000383333,2.16435
38,3000,0.000727667,0.000425,1.71216
39,3000,0.000841,0.000558,1.50717
40,3000,0.000948333,0.000516667,1.83548
41,3000,0.00167267,0.000921,1.81614
42,3000,0.002305,0.000898333,2.56586
43,3000,0.000947,0.000553,1.71248
44,3000,0.00105567,0.000524,2.01463
45,3000,0.00204633,0.000858,2.385
46,3000,0.00128333,0.00102167,1.25612
47,3000,0.00193233,0.000588,3.28628
48,3000,0.00120833,0.000606667,1.99176
49,3000,0.00128833,0.000699,1.84311
50,3000,0.00156667,0.000667333,2.34765
51,3000,0.001383,0.000700667,1.97383
52,3000,0.002003,0.000912,2.19627
53,3000,0.00147633,0.000957,1.54267
54,3000,0.002528,0.000799667,3.16132
55,3000,0.00157467,0.00083,1.89719
56,3000,0.00157433,0.000822333,1.91447
57,3000,0.00215767,0.000844333,2.55547
58,3000,0.001699,0.000862667,1.96947
59,3000,0.00201233,0.00127167,1.58244
60,3000,0.00218867,0.00185033,1.18285
61,3000,0.00463333,0.00142167,3.25909
62,3000,0.00210467,0.00105567,1.99368
63,3000,0.00242133,0.00107467,2.2531
64,3000,0.00228033,0.00115933,1.96694
65,3000,0.00245,0.00107867,2.27132
66,3000,0.002981,0.00115967,2.57057
67,3000,0.00288233,0.00120733,2.38736
68,3000,0.00376433,0.00122,3.08552
69,3000,0.00281633,0.00194933,1.44477
70,3000,0.00290267,0.002279,1.27366
71,3000,0.00604567,0.00135633,4.45736
72,3000,0.00356533,0.001433,2.48802
73,3000,0.004182,0.00153667,2.72148
74,3000,0.004266,0.00145767,2.9266
75,3000,0.00510267,0.002828,1.80434
76,3000,0.00377,0.00256867,1.46769
77,3000,0.00421133,0.00163667,2.57312
78,3000,0.00390433,0.00297833,1.31091
79,3000,0.006153,0.00337833,1.82131
80,3000,0.006317,0.00201033,3.14226
81,3000,0.00533767,0.00197367,2.70444
82,3000,0.00745067,0.00239067,3.11656
83,3000,0.00723867,0.002349,3.0816
84,3000,0.00581333,0.00314,1.85138
85,3000,0.00627467,0.002512,2.49788
86,3000,0.01124,0.00508367,2.211
87,3000,0.006339,0.00237367,2.67055
88,3000,0.00599633,0.00304033,1.97226
89,3000,0.00537733,0.00405233,1.32697
90,3000,0.00868267,0.00303967,2.85645
91,3000,0.006044,0.00291633,2.07247
92,3000,0.007286,0.00340867,2.13749
93,3000,0.00641833,0.002709,2.36926
94,3000,0.00948267,0.004045,2.34429
95,3000,0.00871333,0.003408,2.55673
96,3000,0.00822933,0.00504833,1.63011
97,3000,0.008568,0.00368267,2.32657
98,3000,0.00751333,0.00601267,1.24958
99,3000,0.0105787,0.00443,2.38796
100,300,0.00848333,0.00438,1.93683
101,300,0.00861,0.00823667,1.04533
102,300,0.01152,0.01153,0.999133
103,300,0.0108733,0.00476333,2.28272
104,300,0.0118967,0.00556,2.13969
105,300,0.0413933,0.00498333,8.30635
106,300,0.0130533,0.00628667,2.07635
107,300,0.01109,0.00668333,1.65935
108,300,0.0207167,0.0102567,2.01982
109,300,0.01198,0.00539333,2.22126
110,300,0.01092,0.0177067,0.616717
111,300,0.0147433,0.00543,2.71516
112,300,0.01109,0.00412333,2.68957
113,300,0.00913333,0.00504667,1.80978
114,300,0.00930333,0.00418667,2.22213
115,300,0.01194,0.00415667,2.87249
116,300,0.00904,0.00476,1.89916
117,300,0.00929667,0.00421,2.20823
118,300,0.0113233,0.00801,1.41365
119,300,0.0112333,0.00444667,2.52624
120,300,0.0106033,0.00814333,1.30209
121,300,0.0171733,0.00518,3.31532
122,300,0.0109067,0.005,2.18133
123,300,0.01046,0.00547667,1.90992
124,300,0.0118067,0.00598,1.97436
125,300,0.01485,0.00605333,2.45319
126,300,0.0152333,0.00675,2.25679
127,300,0.0148833,0.00653,2.27922
128,300,0.0163033,0.00658333,2.47646
129,300,0.0125833,0.00670333,1.87718
130,300,0.0118167,0.00681667,1.7335
131,300,0.0118733,0.00632667,1.87671
132,300,0.0156267,0.00582333,2.68346
133,300,0.01181,0.00554,2.13177
134,300,0.0131667,0.00747,1.76261
135,300,0.0139533,0.0061,2.28743
136,300,0.0129233,0.00630667,2.04915
137,300,0.01711,0.00659667,2.59373
138,300,0.01488,0.00711667,2.09087
139,300,0.0165467,0.0087,1.90192
140,300,0.01399,0.0125567,1.11415
141,300,0.0170567,0.00906,1.88263
142,300,0.0235967,0.00663667,3.5555
143,300,0.0151033,0.00918333,1.64465
144,300,0.0187567,0.0071,2.64178
145,300,0.0143467,0.00905333,1.58468
146,300,0.01482,0.00723667,2.0479
147,300,0.01496,0.00749667,1.99555
148,300,0.01619,0.00736667,2.19774
149,300,0.0155267,0.00735333,2.11151
150,300,0.01881,0.00732333,2.5685
151,300,0.02198,0.0102133,2.15209
152,300,0.0210933,0.01318,1.6004
153,300,0.0181933,0.00878667,2.07056
154,300,0.0173,0.00911,1.89901
155,300,0.0252733,0.0102767,2.45929
156,300,0.0177767,0.00732667,2.4263
157,300,0.02255,0.0077,2.92857
158,300,0.0269633,0.00810667,3.32607
159,300,0.0200367,0.00908333,2.20587
160,300,0.0196767,0.00884667,2.22419
161,300,0.0192733,0.00829,2.32489
162,300,0.0185533,0.00973667,1.90551
163,300,0.0186967,0.00843667,2.21612
164,300,0.0189233,0.00944667,2.00318
165,300,0.02928,0.00869667,3.36681
166,300,0.0241133,0.00992,2.43078
167,300,0.02007,0.0104367,1.92303
168,300,0.0202533,0.00948667,2.13493
169,300,0.0204267,0.0147067,1.38894
170,300,0.0206867,0.00903,2.29088
171,300,0.0220967,0.0104067,2.12332
172,300,0.02212,0.01041,2.12488
173,300,0.03028,0.00941667,3.21558
174,300,0.0251733,0.0121433,2.07302
175,300,0.0333333,0.01294,2.57599
176,300,0.0242833,0.01079,2.25054
177,300,0.0230667,0.0108,2.1358
178,300,0.0251867,0.0100167,2.51448
179,300,0.02402,0.01083,2.21791
180,300,0.0362333,0.01056,3.43119
181,300,0.02437,0.0104233,2.33802
182,300,0.02842,0.01292,2.19969
183,300,0.02489,0.0136233,1.82701
184,300,0.0253367,0.0113233,2.23756
185,300,0.0289467,0.0123333,2.34703
186,300,0.0265733,0.01093,2.43123
187,300,0.02893,0.0127933,2.26133
188,300,0.02717,0.0114033,2.38264
189,300,0.02852,0.0113567,2.5113
190,300,0.0465067,0.0114767,4.05228
191,300,0.03842,0.0116067,3.31017
192,300,0.0293967,0.0121567,2.41815
193,300,0.0302867,0.0119633,2.53162
194,300,0.0355933,0.0136267,2.61204
195,300,0.02758,0.01954,1.41146
196,300,0.03344,0.01838,1.81937
197,300,0.0293167,0.0124467,2.35538
198,300,0.04447,0.0132667,3.35201
199,300,0.0303167,0.0148133,2.04658
200,300,0.0332567,0.0122967,2.70453
201,300,0.0405667,0.0178667,2.27052
202,300,0.03415,0.0201767,1.69255
203,300,0.03873,0.0140933,2.74811
204,300,0.0355433,0.01398,2.54244
205,300,0.0324,0.0135633,2.38879
206,300,0.0353233,0.0132933,2.65722
207,300,0.0467933,0.02092,2.23678
208,300,0.03376,0.01397,2.41661
209,300,0.0319267,0.01323,2.4132
210,300,0.0485567,0.01358,3.5756
211,300,0.03536,0.0171233,2.06502
212,300,0.0399467,0.0147233,2.71315
213,300,0.0451333,0.0143,3.15618
214,300,0.0549667,0.01885,2.916
215,300,0.0515,0.0146467,3.51616
216,300,0.0394733,0.0155,2.54667
217,300,0.0458,0.0221,2.0724
218,300,0.0528233,0.0181767,2.90611
219,300,0.04965,0.0227667,2.18082
220,300,0.0442533,0.0156533,2.82709
