数组大小,朴素累加(ms),两路累加(ms),循环分治(ms),四路累加(ms),八路累加(ms),十六路累加(ms),递归分治(ms),两路加速比,循环分治加速比,四路加速比,八路加速比,十六路加速比,递归分治加速比,两路相对误差,循环分治相对误差,四路相对误差,八路相对误差,十六路相对误差,递归分治相对误差
100,0.000067,0.000040,0.000150,0.000030,0.000028,0.000044,0.000260,1.675000,0.446667,2.233333,2.392857,1.522727,0.257692,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
200,0.000137,0.000093,0.000275,0.000061,0.000052,0.000063,0.000669,1.473118,0.498182,2.245902,2.634615,2.174603,0.204783,7.538496325797924e-15,7.538496325797924e-15,7.538496325797924e-15,1.413468061087111e-14,7.538496325797924e-15,9.423120407247406e-15
300,0.000221,0.000124,0.000512,0.000162,0.000136,0.000122,0.000762,1.782258,0.431641,1.364198,1.625000,1.811475,0.290026,2.216911638417671e-15,1.750193398750793e-15,6.184016675586134e-15,3.500386797501585e-16,1.516834278917354e-15,1.283475159083915e-15
400,0.000319,0.000202,0.000524,0.000110,0.000090,0.000070,0.000794,1.579208,0.608779,2.900000,3.544444,4.557143,0.401763,2.650044058642378e-16,1.325022029321189e-16,6.625110146605945e-16,9.275154205248323e-16,6.625110146605945e-16,5.300088117284756e-16
500,0.000408,0.000226,0.000733,0.000149,0.000113,0.000102,0.000626,1.805310,0.556617,2.738255,3.610619,4.000000,0.651757,5.324844233247577e-16,1.198089952480705e-15,6.656055291559471e-16,2.662422116623789e-16,9.318477408183260e-16,1.331211058311894e-15
600,0.000488,0.000334,0.000849,0.000185,0.000149,0.000134,0.001563,1.461078,0.574794,2.637838,3.275168,3.641791,0.312220,1.977890175277933e-16,1.977890175277933e-16,3.955780350555866e-16,9.889450876389665e-16,5.933670525833799e-16,3.955780350555866e-16
700,0.000710,0.000486,0.001689,0.000325,0.000266,0.001208,0.003641,1.460905,0.420367,2.184615,2.669173,0.587748,0.195001,3.049659641263066e-16,1.524829820631533e-16,1.524829820631533e-16,4.574489461894598e-16,1.524829820631533e-16,1.524829820631533e-16
800,0.000992,0.000535,0.001438,0.000311,0.000254,0.000171,0.003194,1.854206,0.689847,3.189711,3.905512,5.801170,0.310582,2.393604867099828e-15,2.393604867099828e-15,2.543205171293567e-15,1.496003041937392e-15,3.141606388068524e-15,2.244004562906089e-15
900,0.001044,0.000633,0.001399,0.000339,0.000267,0.000197,0.003433,1.649289,0.746247,3.079646,3.910112,5.299492,0.304107,1.408768378157683e-15,3.521920945394208e-15,2.113152567236525e-15,3.099290431946903e-15,2.535783080683830e-15,3.662797783209977e-15
1000,0.001724,0.000522,0.001545,0.000356,0.000285,0.000196,0.002849,3.302682,1.115858,4.842697,6.049123,8.795918,0.605125,5.628355170966291e-16,2.814177585483146e-16,4.221266378224718e-16,2.814177585483146e-16,4.221266378224718e-16,8.442532756449436e-16
1250,0.001538,0.000786,0.002134,0.000539,0.000411,0.000275,0.004335,1.956743,0.720712,2.853432,3.742092,5.592727,0.354787,2.200379453947005e-15,6.770398319836939e-16,3.385199159918469e-16,5.077798739877703e-16,5.077798739877703e-16,8.462997899796173e-16
1500,0.003014,0.000879,0.002353,0.000532,0.000534,0.000265,0.003669,3.428896,1.280918,5.665414,5.644195,11.373585,0.821477,2.607920054968152e-15,1.541043668844817e-15,2.607920054968152e-15,1.066876386123335e-15,2.252294592927040e-15,1.066876386123335e-15
1750,0.001590,0.000883,0.002266,0.000614,0.000391,0.000257,0.002998,1.800680,0.701677,2.589577,4.066496,6.186770,0.530354,3.985039339974528e-16,1.992519669987264e-16,3.985039339974528e-16,1.992519669987264e-16,0.000000000000000e+00,1.992519669987264e-16
2000,0.001914,0.000957,0.002597,0.000589,0.000610,0.000419,0.003439,2.000000,0.737004,3.249576,3.137705,4.568019,0.556557,2.200406439423116e-15,2.933875252564154e-15,1.833672032852596e-15,2.200406439423116e-15,1.833672032852596e-15,3.117242455849414e-15
2250,0.002073,0.001025,0.002767,0.000684,0.000532,0.000388,0.004683,2.022439,0.749187,3.030702,3.896617,5.342784,0.442665,6.735353726382305e-15,4.041212235829384e-15,7.240505255860979e-15,3.030909176872037e-15,3.536060706350711e-15,3.030909176872037e-15
2500,0.002276,0.001241,0.003556,0.000765,0.000637,0.000399,0.006345,1.834005,0.640045,2.975163,3.572998,5.704261,0.358708,3.777778661214616e-16,6.296297768691027e-16,2.518519107476411e-16,7.555557322429232e-16,8.814816876167438e-16,6.296297768691027e-16
2750,0.002765,0.001261,0.004339,0.000931,0.000765,0.000549,0.009734,2.192704,0.637244,2.969925,3.614379,5.036430,0.284056,2.276270945999142e-15,3.414406418998713e-15,1.896892454999285e-16,3.983474155498499e-15,1.896892454999285e-15,3.224717173498785e-15
3000,0.003332,0.001582,0.004528,0.000989,0.000802,0.000484,0.010068,2.106195,0.735866,3.369060,4.154613,6.884298,0.330950,4.787318457450810e-15,5.203607018968272e-15,4.162885615174618e-15,6.452472703520657e-15,5.203607018968272e-15,5.411751299727003e-15
3100,0.002926,0.001418,0.004072,0.000964,0.000715,0.000555,0.010631,2.063470,0.718566,3.035270,4.092308,5.272072,0.275233,1.055644675301663e-14,1.829784103856216e-15,4.081826077833096e-15,7.037631168677753e-16,2.955805090844656e-15,2.674299844097546e-15
3200,0.002968,0.001559,0.004529,0.002063,0.000893,0.000572,0.011126,1.903784,0.655332,1.438682,3.323628,5.188811,0.266763,2.468147955198675e-15,1.762962825141911e-15,1.234073977599338e-15,3.525925650283821e-16,1.586666542627720e-15,1.586666542627720e-15
3250,0.003562,0.002045,0.004515,0.001060,0.000986,0.000585,0.011448,1.741809,0.788926,3.360377,3.612576,6.088889,0.311146,5.007250241760946e-15,1.877718840660355e-15,3.755437681320710e-15,2.086354267400394e-16,1.251812560440237e-15,1.460447987180276e-15
3300,0.003126,0.001436,0.003912,0.001217,0.000826,0.000500,0.009909,2.176880,0.799080,2.568611,3.784504,6.252000,0.315471,2.617351121127404e-15,1.682582863581903e-15,1.308675560563702e-15,2.804304772636505e-15,1.308675560563702e-15,2.056490166600103e-15
3400,0.003332,0.001499,0.004703,0.001233,0.000843,0.000547,0.008920,2.222815,0.708484,2.702352,3.952550,6.091408,0.373543,2.646496626888223e-14,6.921606562630738e-15,6.921606562630738e-15,1.343605979804790e-14,6.514453235417166e-15,8.550219871485029e-15
3500,0.003082,0.001580,0.004803,0.001076,0.000821,0.000534,0.009142,1.950633,0.641682,2.864312,3.753959,5.771536,0.337125,1.801695444771619e-15,6.551619799169525e-16,9.827429698754287e-16,1.637904949792381e-16,1.637904949792381e-16,4.913714849377144e-16
3600,0.003310,0.001645,0.004761,0.001067,0.000844,0.000542,0.009563,2.012158,0.695232,3.102156,3.921801,6.107011,0.346126,4.005058517002826e-16,1.335019505667609e-16,4.005058517002826e-16,4.005058517002826e-16,6.675097528338043e-16,1.335019505667609e-16
3700,0.003764,0.001611,0.005100,0.001913,0.000862,0.000549,0.009989,2.336437,0.738039,1.967590,4.366589,6.856102,0.376814,1.166964872424009e-15,1.944941454040015e-16,5.834824362120045e-16,0.000000000000000e+00,3.889882908080030e-16,1.944941454040015e-16
3750,0.005523,0.002576,0.006339,0.001388,0.001143,0.000760,0.012399,2.144022,0.871273,3.979107,4.832021,7.267105,0.445439,1.950171145179621e-15,6.500570483932071e-16,4.333713655954714e-16,1.733485462381886e-15,1.300114096786414e-15,1.083428413988679e-15
3800,0.004513,0.002052,0.005310,0.001140,0.000859,0.000541,0.010235,2.199318,0.849906,3.958772,5.253783,8.341959,0.440938,2.958251756644855e-15,1.286196415932546e-16,9.003374911527822e-16,3.858589247797638e-16,7.717178495595275e-16,1.286196415932546e-16
3825,0.004862,0.002366,0.005994,0.001269,0.000913,0.000568,0.009837,2.054945,0.811144,3.831363,5.325301,8.559859,0.494256,1.659934649341077e-15,1.521606761895987e-15,1.521606761895987e-15,1.383278874450897e-15,1.383278874450897e-15,1.659934649341077e-15
3850,0.003532,0.001831,0.006128,0.001464,0.001366,0.000891,0.014023,1.929001,0.576371,2.412568,2.585652,3.964085,0.251872,4.549464847311736e-15,3.601659670788457e-15,4.549464847311736e-15,3.601659670788457e-15,4.549464847311736e-15,3.791220706093113e-15
3875,0.006301,0.002552,0.008378,0.001699,0.001070,0.000689,0.009594,2.469044,0.752089,3.708652,5.888785,9.145138,0.656765,1.207651053274063e-16,1.328416158601470e-15,3.622953159822190e-16,3.502188054494784e-15,1.328416158601470e-15,2.294537001220720e-15
3900,0.006143,0.001788,0.005351,0.001155,0.000881,0.000652,0.010073,3.435682,1.148010,5.318615,6.972758,9.421779,0.609848,2.354696576985949e-15,1.662138760225376e-15,2.631719703690178e-15,1.662138760225376e-15,2.908742830394407e-15,1.108092506816917e-15
3925,0.003871,0.001851,0.005477,0.001169,0.000912,0.000584,0.010896,2.091302,0.706774,3.311377,4.244518,6.628425,0.355268,5.127199887914449e-15,6.248774863395734e-15,3.845399915935836e-15,6.889674849385041e-15,5.928324870401081e-15,6.088549866898408e-15
3950,0.003967,0.002253,0.006977,0.001646,0.003195,0.000830,0.010750,1.760763,0.568582,2.410085,1.241628,4.779518,0.369023,5.570315313663890e-16,8.912504501862222e-16,5.570315313663890e-16,5.570315313663890e-16,1.671094594099167e-15,7.798441439129446e-16
3975,0.003867,0.001873,0.006455,0.001870,0.001709,0.000873,0.011194,2.064602,0.599070,2.067914,2.262727,4.429553,0.345453,1.800413717431104e-15,1.575362002752216e-15,1.800413717431104e-15,1.350310288073328e-15,3.375775720183320e-16,1.462836145412772e-15
4000,0.003657,0.001898,0.006329,0.001388,0.001098,0.000723,0.011810,1.926765,0.577816,2.634726,3.330601,5.058091,0.309653,5.512645560337551e-15,4.793604835076132e-15,2.157122175784259e-15,9.587209670152264e-16,7.909447977875618e-15,4.314244351568519e-15
