矩阵大小,原始算法(ms),行优化算法(ms),NEON/向量化(ms),预取优化(ms),行优化加速比,NEON加速比,预取加速比,NEON标准差,预取标准差
1,0.000117,0.000175,0.000106,0.000106,0.668571,1.103774,1.103774,0.003319,0.003350
2,0.000062,0.000055,0.000107,0.000082,1.127273,0.579439,0.756098,0.002139,0.002592
3,0.000091,0.000136,0.000053,0.000031,0.669118,1.716981,2.935484,0.001675,0.000856
4,0.000002,0.000064,0.000032,0.000042,0.031250,0.062500,0.047619,0.001011,0.001296
5,0.000004,0.000026,0.000001,0.000026,0.153846,4.000000,0.153846,0.000032,0.000822
6,0.000001,0.000001,0.000034,0.000054,1.000000,0.029412,0.018519,0.001075,0.001141
7,0.000001,0.000002,0.000001,0.000001,0.500000,1.000000,1.000000,0.000032,0.000032
8,0.000048,0.000063,0.000039,0.000003,0.761905,1.230769,16.000000,0.000618,0.000055
9,0.001284,0.000617,0.000984,0.000754,2.081037,1.304878,1.702918,0.000133,0.000972
10,0.001119,0.001258,0.001078,0.001001,0.889507,1.038033,1.117882,0.002402,0.000032
11,0.001103,0.001002,0.001001,0.001001,1.100798,1.101898,1.101898,0.000032,0.000032
12,0.001065,0.001017,0.001001,0.001015,1.047198,1.063936,1.049261,0.000032,0.000413
13,0.001936,0.001349,0.001109,0.001032,1.435137,1.745717,1.875969,0.002055,0.000570
14,0.002083,0.001177,0.001463,0.001306,1.769754,1.423787,1.594946,0.000789,0.000645
15,0.002981,0.002056,0.004896,0.002514,1.449903,0.608864,1.185760,0.012823,0.002422
16,0.002348,0.003780,0.003678,0.002036,0.621164,0.638390,1.153242,0.014042,0.000682
17,0.004988,0.003306,0.003173,0.003015,1.508772,1.572014,1.654395,0.002523,0.001583
18,0.004659,0.004063,0.003542,0.003633,1.146690,1.315359,1.282411,0.001672,0.002785
19,0.004127,0.007424,0.004161,0.004120,0.555900,0.991829,1.001699,0.003336,0.002684
20,0.005858,0.004080,0.005292,0.004393,1.435784,1.106954,1.333485,0.002607,0.003541
21,0.004141,0.004107,0.004087,0.004258,1.008279,1.013213,0.972522,0.000962,0.004372
22,0.004986,0.004064,0.004060,0.004060,1.226870,1.228079,1.228079,0.000716,0.001063
23,0.005015,0.004414,0.005023,0.004716,1.136158,0.998407,1.063401,0.000463,0.000879
24,0.005107,0.005032,0.005036,0.005012,1.014905,1.014098,1.018955,0.001076,0.000349
25,0.006111,0.005165,0.006032,0.005665,1.183156,1.013097,1.078729,0.002025,0.009070
26,0.006411,0.006584,0.006142,0.006013,0.973724,1.043797,1.066190,0.001442,0.000373
27,0.007040,0.006059,0.006451,0.006413,1.161908,1.091304,1.097770,0.000844,0.001187
28,0.008160,0.006744,0.007042,0.006617,1.209964,1.158762,1.233187,0.000717,0.000775
29,0.008038,0.007090,0.007372,0.007128,1.133709,1.090342,1.127666,0.000708,0.000972
30,0.008828,0.007847,0.008307,0.007619,1.125016,1.062718,1.158682,0.003726,0.000583
31,0.009221,0.008291,0.009437,0.008296,1.112170,0.977111,1.111500,0.003562,0.000664
32,0.010065,0.008576,0.009043,0.009035,1.173624,1.113016,1.114001,0.000567,0.005829
33,0.010414,0.009132,0.010052,0.009134,1.140385,1.036013,1.140136,0.002262,0.000897
34,0.011091,0.009699,0.010207,0.009996,1.143520,1.086607,1.109544,0.001720,0.003506
35,0.012495,0.010404,0.012151,0.010691,1.200980,1.028310,1.168740,0.026373,0.001993
36,0.012657,0.010982,0.011903,0.012276,1.152522,1.063345,1.031036,0.003511,0.010524
37,0.014159,0.011620,0.012698,0.011818,1.218503,1.115057,1.198088,0.012961,0.002991
38,0.014283,0.012531,0.013506,0.013682,1.139813,1.057530,1.043926,0.007182,0.014430
39,0.015277,0.012697,0.013916,0.012870,1.203198,1.097801,1.187024,0.004878,0.001563
40,0.015176,0.013582,0.014317,0.014295,1.117361,1.059999,1.061630,0.001859,0.007824
41,0.019518,0.014183,0.015415,0.014919,1.376155,1.266169,1.308265,0.002742,0.005396
42,0.017511,0.015010,0.015849,0.015237,1.166622,1.104865,1.149242,0.003576,0.004868
43,0.017600,0.015949,0.016477,0.015835,1.103517,1.068156,1.111462,0.003738,0.001908
44,0.018824,0.016761,0.017472,0.016523,1.123083,1.077381,1.139260,0.002653,0.001016
45,0.020000,0.017150,0.019140,0.017349,1.166181,1.044932,1.152804,0.006016,0.002359
46,0.020242,0.017877,0.018819,0.017828,1.132293,1.075615,1.135405,0.004656,0.001899
47,0.021406,0.019025,0.019776,0.019002,1.125151,1.082423,1.126513,0.002782,0.003117
48,0.022532,0.019743,0.020805,0.019804,1.141265,1.083009,1.137750,0.003495,0.004060
49,0.023212,0.020219,0.021262,0.020288,1.148029,1.091713,1.144125,0.001243,0.002515
50,0.024615,0.021058,0.022107,0.021372,1.168914,1.113448,1.151741,0.003509,0.012209
51,0.025699,0.021863,0.023997,0.022727,1.175456,1.070926,1.130770,0.013482,0.012835
52,0.026671,0.024622,0.025957,0.023412,1.083218,1.027507,1.139202,0.050377,0.007967
53,0.027333,0.024392,0.025323,0.023764,1.120572,1.079374,1.150185,0.007052,0.006169
54,0.028947,0.025405,0.026580,0.025401,1.139421,1.089052,1.139601,0.013811,0.016617
55,0.030271,0.027133,0.027979,0.026929,1.115653,1.081919,1.124104,0.017536,0.026739
56,0.031355,0.027474,0.029679,0.026838,1.141261,1.056471,1.168306,0.023230,0.003997
57,0.032688,0.028496,0.029447,0.028657,1.147108,1.110062,1.140664,0.007436,0.013433
58,0.032627,0.031926,0.031184,0.028564,1.021957,1.046274,1.142242,0.015632,0.006930
59,0.035213,0.030504,0.031033,0.030384,1.154373,1.134695,1.158932,0.004339,0.005977
60,0.036265,0.030744,0.032776,0.032844,1.179580,1.106450,1.104159,0.007757,0.030552
61,0.036187,0.032280,0.033784,0.033521,1.121035,1.071128,1.079532,0.015571,0.037368
62,0.037804,0.033306,0.035125,0.032765,1.135051,1.076270,1.153792,0.016100,0.009049
63,0.040761,0.036851,0.035807,0.034387,1.106103,1.138353,1.185361,0.012890,0.010876
64,0.040484,0.034861,0.037667,0.037431,1.161298,1.074787,1.081563,0.011601,0.034601
65,0.041556,0.036339,0.037986,0.035480,1.143565,1.093982,1.171251,0.007456,0.001951
66,0.041526,0.036508,0.038379,0.036769,1.137449,1.081998,1.129375,0.001852,0.004744
67,0.042906,0.037855,0.040049,0.037439,1.133430,1.071338,1.146024,0.003485,0.001691
68,0.046287,0.038889,0.040671,0.038600,1.190234,1.138084,1.199145,0.003939,0.003427
69,0.046214,0.041343,0.043364,0.041705,1.117819,1.065723,1.108117,0.013362,0.025846
70,0.049943,0.043181,0.044820,0.042490,1.156597,1.114302,1.175406,0.025487,0.010801
71,0.050453,0.042580,0.047699,0.049693,1.184899,1.057737,1.015294,0.019879,0.018617
72,0.057098,0.045456,0.046198,0.043577,1.256116,1.235941,1.310278,0.005320,0.004795
73,0.053213,0.045021,0.048616,0.045784,1.181960,1.094557,1.162262,0.010949,0.013701
74,0.053489,0.047091,0.049270,0.049119,1.135865,1.085630,1.088968,0.017405,0.036029
75,0.055217,0.048468,0.050756,0.049278,1.139247,1.087891,1.120520,0.015117,0.013143
76,0.056583,0.050486,0.052678,0.049840,1.120766,1.074130,1.135293,0.023536,0.015639
77,0.059044,0.049577,0.053687,0.052812,1.190955,1.099782,1.118003,0.006189,0.009115
78,0.057912,0.051819,0.054146,0.051426,1.117582,1.069553,1.126123,0.005603,0.007751
79,0.060055,0.053841,0.055170,0.055082,1.115414,1.088544,1.090284,0.002742,0.007807
80,0.062584,0.053992,0.057475,0.054269,1.159135,1.088891,1.153218,0.021566,0.005552
81,0.063165,0.055747,0.058931,0.055921,1.133065,1.071847,1.129540,0.007459,0.009392
82,0.065952,0.056895,0.059845,0.056394,1.159188,1.102047,1.169486,0.005650,0.007224
83,0.066523,0.058780,0.061041,0.059556,1.131728,1.089808,1.116982,0.009234,0.016234
