矩阵大小,逐列访问时间(ms),按行访问时间(ms),加速比
1,0.000003,0.000007,0.428571
2,0.000005,0.000011,0.454545
3,0.000010,0.000019,0.526316
4,0.000014,0.000013,1.076923
5,0.000023,0.000027,0.851852
6,0.000037,0.000025,1.480000
7,0.000036,0.000044,0.818182
8,0.000052,0.000037,1.405405
9,0.000058,0.000042,1.380952
10,0.000069,0.000061,1.131148
11,0.000078,0.000064,1.218750
12,0.000094,0.000068,1.382353
13,0.000142,0.000076,1.868421
14,0.000140,0.000083,1.686747
15,0.000157,0.000093,1.688172
16,0.000233,0.000100,2.330000
17,0.000257,0.000110,2.336364
18,0.000211,0.000118,1.788136
19,0.000217,0.000129,1.682171
20,0.000221,0.000146,1.513699
21,0.000240,0.000150,1.600000
22,0.000267,0.000166,1.608434
23,0.000292,0.000172,1.697674
24,0.000317,0.000189,1.677249
25,0.000342,0.000205,1.668293
26,0.000387,0.000215,1.800000
27,0.000395,0.000241,1.639004
28,0.000666,0.000245,2.718367
29,0.000720,0.000262,2.748092
30,0.000768,0.000277,2.772563
31,0.000764,0.000293,2.607509
32,0.000542,0.000322,1.683230
33,0.000587,0.000323,1.817337
34,0.000607,0.000346,1.754335
35,0.000632,0.000357,1.770308
36,0.000666,0.000374,1.780749
37,0.000720,0.000410,1.756098
38,0.000967,0.000420,2.302381
39,0.000788,0.000442,1.782805
40,0.000821,0.000461,1.780911
41,0.000860,0.000476,1.806723
42,0.000901,0.000495,1.820202
43,0.000973,0.000517,1.882012
44,0.001228,0.000782,1.570332
45,0.002376,0.001279,1.857701
46,0.002502,0.001358,1.842415
47,0.003497,0.001742,2.007463
48,0.003004,0.001437,2.090466
49,0.003359,0.001496,2.245321
50,0.002973,0.001626,1.828413
51,0.006116,0.001892,3.232558
52,0.003605,0.000912,3.952851
53,0.003248,0.001742,1.864524
54,0.003612,0.001939,1.862816
55,0.002732,0.001144,2.388112
56,0.003228,0.001976,1.633603
57,0.003468,0.001525,2.274098
58,0.003667,0.000783,4.683269
59,0.001481,0.000736,2.012228
60,0.001516,0.000760,1.994737
61,0.001554,0.000791,1.964602
62,0.001836,0.001406,1.305832
63,0.002450,0.000855,2.865497
64,0.002107,0.001816,1.160242
65,0.005554,0.002296,2.418990
66,0.004248,0.002760,1.539130
67,0.005790,0.003133,1.848069
68,0.005588,0.002891,1.932895
69,0.006599,0.003228,2.044300
70,0.005910,0.002205,2.680272
71,0.003243,0.003140,1.032803
72,0.005833,0.003283,1.776729
73,0.006641,0.001190,5.580672
74,0.003430,0.003524,0.973326
75,0.007904,0.003074,2.571243
76,0.003345,0.001268,2.638013
77,0.003312,0.001344,2.464286
78,0.003013,0.001396,2.158309
79,0.002993,0.001447,2.068417
80,0.003097,0.001494,2.072959
81,0.003562,0.001675,2.126567
82,0.003348,0.001610,2.079503
83,0.003331,0.002672,1.246632
84,0.005615,0.005053,1.111221
85,0.010128,0.002738,3.699050
86,0.004718,0.001722,2.739837
87,0.004133,0.001805,2.289751
88,0.004689,0.002414,1.942419
89,0.004637,0.002007,2.310414
90,0.004431,0.002012,2.202286
91,0.004007,0.001972,2.031947
92,0.004131,0.001994,2.071715
93,0.004398,0.002216,1.984657
94,0.004828,0.003373,1.431367
95,0.010571,0.003943,2.680954
96,0.006657,0.002249,2.959982
97,0.005995,0.003480,1.722701
98,0.008701,0.002497,3.484581
99,0.005230,0.002312,2.262111
100,0.005372,0.002363,2.273381
101,0.005990,0.002470,2.425101
102,0.005490,0.002500,2.196000
103,0.005590,0.002550,2.192157
104,0.005750,0.002600,2.211538
105,0.005840,0.002640,2.212121
106,0.005990,0.002690,2.226766
107,0.006070,0.002780,2.183453
108,0.006420,0.002800,2.292857
109,0.006140,0.002940,2.088435
110,0.006530,0.002940,2.221088
111,0.006630,0.002960,2.239865
112,0.006730,0.003050,2.206557
113,0.007210,0.003080,2.340909
114,0.006970,0.003190,2.184953
115,0.007050,0.003190,2.210031
116,0.007320,0.003510,2.085470
117,0.007220,0.003410,2.117302
118,0.007770,0.003600,2.158333
119,0.007810,0.003360,2.324405
120,0.007500,0.003800,1.973684
121,0.007660,0.003770,2.031830
122,0.008040,0.003840,2.093750
123,0.009610,0.004690,2.049041
124,0.011810,0.004470,2.642058
125,0.010230,0.004100,2.495122
126,0.009830,0.004480,2.194196
127,0.009430,0.004280,2.203271
128,0.008700,0.004010,2.169576
129,0.009040,0.004500,2.008889
130,0.009420,0.004650,2.025806
131,0.009290,0.004740,1.959916
132,0.009670,0.004600,2.102174
133,0.009300,0.004520,2.057522
134,0.009490,0.004910,1.932790
135,0.009800,0.005750,1.704348
136,0.009660,0.004990,1.935872
137,0.009830,0.005080,1.935039
138,0.010100,0.005180,1.949807
139,0.010020,0.005290,1.894140
140,0.010530,0.005300,1.986792
141,0.010510,0.005090,2.064833
142,0.010680,0.005290,2.018904
143,0.010900,0.005280,2.064394
144,0.011150,0.005410,2.060998
145,0.011130,0.005610,1.983957
146,0.013740,0.005780,2.377163
147,0.013040,0.005970,2.184255
148,0.012260,0.005940,2.063973
149,0.012370,0.006010,2.058236
150,0.013240,0.005900,2.244068
151,0.012480,0.005810,2.148021
152,0.012570,0.006190,2.030695
153,0.012850,0.006080,2.113487
154,0.013000,0.006350,2.047244
155,0.013380,0.006090,2.197044
156,0.013550,0.006230,2.174960
157,0.013070,0.006580,1.986322
158,0.013960,0.006380,2.188088
159,0.013770,0.006440,2.138199
160,0.013620,0.006530,2.085758
161,0.014300,0.006790,2.106038
162,0.014420,0.006980,2.065903
163,0.014730,0.006670,2.208396
164,0.014870,0.006820,2.180352
165,0.014960,0.006910,2.164978
166,0.015540,0.007080,2.194915
167,0.015580,0.007010,2.222539
168,0.015710,0.007110,2.209564
169,0.015930,0.007120,2.237360
170,0.016420,0.007520,2.183511
171,0.016340,0.007530,2.169987
172,0.016920,0.007590,2.229249
173,0.016710,0.007450,2.242953
174,0.017320,0.007690,2.252276
175,0.017430,0.007850,2.220382
176,0.017290,0.007710,2.242542
177,0.017780,0.007860,2.262087
178,0.018080,0.007950,2.274214
179,0.018010,0.008110,2.220715
180,0.018100,0.008260,2.191283
181,0.018320,0.008360,2.191388
182,0.019190,0.009600,1.998958
183,0.020670,0.008610,2.400697
184,0.020840,0.008790,2.370876
185,0.020630,0.008420,2.450119
186,0.019700,0.008580,2.296037
187,0.033520,0.009550,3.509948
188,0.022490,0.009230,2.436620
189,0.020790,0.009070,2.292172
190,0.025990,0.009030,2.878184
191,0.026280,0.009210,2.853420
192,0.020940,0.011610,1.803618
193,0.020850,0.009760,2.136270
194,0.021760,0.009730,2.236382
195,0.021660,0.009440,2.294492
196,0.022500,0.009530,2.360965
197,0.022170,0.009560,2.319038
198,0.022610,0.009710,2.328527
199,0.023080,0.009650,2.391710
200,0.022840,0.009760,2.340164
201,0.025370,0.010420,2.434741
202,0.024300,0.011190,2.171582
203,0.032800,0.010700,3.065421
204,0.034060,0.010220,3.332681
205,0.029840,0.010160,2.937008
206,0.025380,0.010610,2.392083
207,0.033830,0.011200,3.020536
208,0.026080,0.010510,2.481446
209,0.025450,0.010450,2.435407
210,0.026360,0.010650,2.475117
211,0.028470,0.011360,2.506162
212,0.029480,0.011830,2.491970
213,0.028530,0.011420,2.498249
214,0.028370,0.011120,2.551259
215,0.030810,0.011000,2.800909
216,0.028790,0.011370,2.532102
217,0.028910,0.011350,2.547137
218,0.029730,0.011400,2.607895
219,0.032770,0.012380,2.647011
220,0.034850,0.013850,2.516245
