数组大小,朴素累加(ms),两路累加(ms),循环分治(ms),四路累加(ms),八路累加(ms),十六路累加(ms),递归分治(ms),两路加速比,循环分治加速比,四路加速比,八路加速比,十六路加速比,递归分治加速比
100,0.000055,0.000052,0.000098,0.000021,0.000019,0.000027,0.000134,1.057692,0.561224,2.619048,2.894737,2.037037,0.410448
200,0.000092,0.000064,0.000163,0.000040,0.000034,0.000032,0.000382,1.437500,0.564417,2.300000,2.705882,2.875000,0.240838
300,0.000154,0.000090,0.000318,0.000060,0.000051,0.000047,0.000459,1.711111,0.484277,2.566667,3.019608,3.276596,0.335512
400,0.000220,0.000116,0.000354,0.000083,0.000067,0.000053,0.000497,1.896552,0.621469,2.650602,3.283582,4.150943,0.442656
500,0.000286,0.000142,0.000473,0.000100,0.000084,0.000064,0.000445,2.014085,0.604651,2.860000,3.404762,4.468750,0.642697
600,0.000352,0.000235,0.000518,0.000120,0.000101,0.000074,0.000772,1.497872,0.679537,2.933333,3.485149,4.756757,0.455959
700,0.000684,0.000261,0.001171,0.000142,0.000116,0.000087,0.001213,2.620690,0.584116,4.816901,5.896552,7.862069,0.563891
800,0.000513,0.000241,0.000907,0.000163,0.000133,0.000091,0.001614,2.128631,0.565601,3.147239,3.857143,5.637363,0.317844
900,0.000612,0.000301,0.000777,0.000182,0.000183,0.000105,0.001445,2.033223,0.787645,3.362637,3.344262,5.828571,0.423529
1000,0.000614,0.000308,0.000859,0.000201,0.000166,0.000115,0.001532,1.993506,0.714785,3.054726,3.698795,5.339130,0.400783
1250,0.000778,0.000391,0.001087,0.000249,0.000208,0.000139,0.001929,1.989770,0.715731,3.124498,3.740385,5.597122,0.403318
1500,0.000943,0.000473,0.001293,0.000313,0.000248,0.000167,0.001972,1.993658,0.729312,3.012780,3.802419,5.646707,0.478195
1750,0.001107,0.000556,0.001486,0.000353,0.000292,0.000192,0.002400,1.991007,0.744953,3.135977,3.791096,5.765625,0.461250
2000,0.001647,0.000681,0.001733,0.000417,0.000343,0.000222,0.001817,2.418502,0.950375,3.949640,4.801749,7.418919,0.906439
2250,0.001492,0.000734,0.001892,0.000460,0.000387,0.000244,0.002777,2.032698,0.788584,3.243478,3.855297,6.114754,0.537270
2500,0.001614,0.001730,0.002302,0.000527,0.000415,0.000292,0.003484,0.932948,0.701129,3.062619,3.889157,5.527397,0.463261
2750,0.001766,0.000886,0.002286,0.000568,0.000470,0.000299,0.004784,1.993228,0.772528,3.109155,3.757447,5.906355,0.369147
3000,0.001946,0.000967,0.002569,0.000624,0.000526,0.000321,0.005838,2.012410,0.757493,3.118590,3.699620,6.062305,0.333333
3100,0.002076,0.001027,0.002681,0.000653,0.000513,0.000334,0.006443,2.021422,0.774338,3.179173,4.046784,6.215569,0.322210
